"Number of processors";1;4;8;12;16
"Elapsed time (sec)";0.461228;0.126184;0.111720;0.152901;0.197206
"Speedup";1.000000;3.655201;4.128413;3.016512;2.338808
"Efficiency";1.000000;0.913800;0.516052;0.251376;0.146175
#
