"Number of processors";1;2;4;6;8;10;12;14;16
"Elapsed time (sec)";0.152678;0.090756;0.063069;0.065944;0.066525;0.067476;0.068029;0.068576;0.067624
"Speedup";1.000000;1.682281;2.420807;2.315273;2.295040;2.262694;2.244296;2.226403;2.257754
"Efficiency";1.000000;0.841141;0.605202;0.385879;0.286880;0.226269;0.187025;0.159029;0.141110
#
