"Number of processors";1;2;4;6;8;10;12;14;16
"Elapsed time (sec)";0.160037;0.084368;0.045205;0.033684;0.027255;0.023452;0.020848;0.018923;0.017607
"Speedup";1.000000;1.896899;3.540276;4.751091;5.871898;6.824028;7.676277;8.457069;9.089509
"Efficiency";1.000000;0.948449;0.885069;0.791848;0.733987;0.682403;0.639690;0.604076;0.568094
#
