	2	3	4	
CPU 1.1	0.00	0.00	315154609000.00	
CPU 1.2	0.00	0.00	314746209000.00	
CPU 1.3	0.00	15000.00	314458444000.00	
CPU 1.4	15000.00	15000.00	313591104000.00	

Total	15000.00	30000.00	1257950366000.00	
Average	15000.00	15000.00	314487591500.00	
Maximum	15000.00	15000.00	315154609000.00	
Minimum	15000.00	15000.00	313591104000.00	
StDev	0.00	0.00	573658167.16	
Avg/Max	1.00	1.00	1.00	

