"Number of processors";1;4;8;16
"Elapsed time (sec)";2.820729;2.151230;2.053362;2.098453
"Speedup";1.000000;1.311217;1.373713;1.344194
"Efficiency";1.000000;0.327804;0.171714;0.084012
#
