	1	2	3	4	
CPU 1.1	0.00	0.00	40552000.00	624383000.00	
CPU 1.2	70000.00	624000.00	43704000.00	1037014000.00	
CPU 1.3	0.00	0.00	3152000.00	1324779000.00	
CPU 1.4	0.00	624000.00	43704000.00	2192119000.00	

Total	70000.00	1248000.00	131112000.00	5178295000.00	
Average	70000.00	624000.00	32778000.00	1294573750.00	
Maximum	70000.00	624000.00	43704000.00	2192119000.00	
Minimum	70000.00	624000.00	3152000.00	624383000.00	
StDev	0.00	0.00	17152914.50	574889663.14	
Avg/Max	1.00	1.00	0.75	0.59	

