"Number of processors";1;4;8;16
"Elapsed time (sec)";2.892570;0.724237;0.399356;0.222886
"Speedup";1.000000;3.993955;7.243079;12.977814
"Efficiency";1.000000;0.998489;0.905385;0.811113
#
