"Number of processors";1;4;8;16
"Elapsed time (sec)";6.904510;3.148329;1.912630;1.250415
"Speedup";1.000000;2.193071;3.609955;5.521777
"Efficiency";1.000000;0.548268;0.451244;0.345111
#
