"Number of processors";1;4;8;16
"Elapsed time (sec)";2.831450;4.046229;3.461635;3.480081
"Speedup";1.000000;0.699775;0.817952;0.813616
"Efficiency";1.000000;0.699775;0.817952;0.813616
#
