"Number of processors";1;2;4;6;8;10;12;14;16
"Elapsed time (sec)";0.210916;0.239475;0.193725;0.204266;0.205538;0.221646;0.236904;0.238922;0.248856
"Speedup";1.000000;0.880741;1.088740;1.032553;1.026164;0.951587;0.890301;0.882781;0.847541
"Efficiency";1.000000;0.440370;0.272185;0.172092;0.128271;0.095159;0.074192;0.063056;0.052971
#
