	MAIN_TAREADOR	start_plan_forward	init_complex_grid_loop_j	ffts1_planes_loop_k	Transpose_xy_loop_k	Transpose_zx_loop_k	
THREAD 1.1.39	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.40	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.41	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.42	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.43	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.44	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.45	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.46	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.47	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.48	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.49	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.50	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.51	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.52	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.53	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.54	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.55	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.56	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.57	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.58	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.59	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.60	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.61	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.62	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.63	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.64	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.65	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.66	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.67	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.68	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.69	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.70	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.71	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.72	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.73	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.74	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.75	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.76	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.77	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.78	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.79	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.80	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.81	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.82	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.83	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.84	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.85	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.86	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.87	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.88	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.89	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.90	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.91	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.92	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.93	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.94	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.95	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.96	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.97	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.98	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.99	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.100	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.101	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.102	0.00	0.00	995000.00	0.00	0.00	0.00	
THREAD 1.1.103	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.104	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.105	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.106	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.107	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.108	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.109	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.110	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.111	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.112	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.113	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.114	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.115	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.116	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.117	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.118	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.119	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.120	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.121	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.122	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.123	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.124	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.125	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.126	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.127	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.128	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.129	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.130	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.131	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.132	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.133	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.134	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.135	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.136	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.137	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.138	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.139	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.140	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.141	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.142	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.143	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.144	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.145	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.146	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.147	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.148	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.149	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.150	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.151	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.152	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.153	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.154	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.155	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.156	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.157	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.158	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.159	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.160	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.161	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.162	0.00	0.00	0.00	0.00	0.00	5735000.00	
THREAD 1.1.163	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.164	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.165	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.166	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.167	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.168	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.169	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.170	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.171	0.00	0.00	0.00	0.00	5735000.00	0.00	
THREAD 1.1.172	0.00	0.00	0.00	0.00	5735000.00	0.00	

Total	1710000.00	20000.00	99500000.00	309150000.00	114700000.00	114700000.00	
Average	1710000.00	20000.00	995000.00	10305000.00	5735000.00	5735000.00	
Maximum	1710000.00	20000.00	995000.00	10305000.00	5735000.00	5735000.00	
Minimum	1710000.00	20000.00	995000.00	10305000.00	5735000.00	5735000.00	
StDev	0.00	0.00	0.00	0.00	0.00	0.00	
Avg/Max	1.00	1.00	1.00	1.00	1.00	1.00	

