	2	3	4	
CPU 1.1	5735000.00	0.00	22940000.00	
CPU 1.2	0.00	0.00	28675000.00	
CPU 1.3	0.00	0.00	22940000.00	
CPU 1.4	5735000.00	0.00	28675000.00	

Total	11470000.00	0.00	103230000.00	
Average	5735000.00	0.00	25807500.00	
Maximum	5735000.00	0.00	28675000.00	
Minimum	5735000.00	0.00	22940000.00	
StDev	0.00	0.00	2867500.00	
Avg/Max	1.00	-nan	0.90	

