"Number of processors";1;4;8;16
"Elapsed time (sec)";2.925384;2.284099;2.138114;2.170042
"Speedup";1.000000;1.280760;1.368208;1.348077
"Efficiency";1.000000;0.320190;0.171026;0.084255
#
