"Number of processors";1;2;4;6;8;10;12;14;16
"Elapsed time (sec)";0.265169;0.303546;0.246599;0.233876;0.221814;0.218876;0.224858;0.226336;0.217210
"Speedup";1.000000;0.873570;1.075301;1.133802;1.195455;1.211504;1.179270;1.171572;1.220794
"Efficiency";1.000000;0.436785;0.268825;0.188967;0.149432;0.121150;0.098272;0.083684;0.076300
#
