"Number of processors";1;4;8;12;16
"Elapsed time (sec)";0.577168;0.365388;0.316619;0.358748;0.347801
"Speedup";1.000000;1.579604;1.822913;1.608840;1.659479
"Efficiency";1.000000;0.394901;0.227864;0.134070;0.103717
#
